Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
contact-lenses,2,1,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,1,2,0,33.33333333,66.66666667,0,0.142857143,0.444444444,0.666666667,120,156.8929081,4.140177658,2148,-2143.859822,1.380059219,716,-714.6199408,-0.748461233,-0.249487078,-54.06271315,NaN,0,0.666666667,2,0.333333333,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.333333333,0,1,0.666666667,NaN,0.333333333,NaN,NaN,0.666666667,0.666666667,NaN,0.333333333,0,0,6.30E-05,2.20E-05,0.063,0.022,1339,3176,1934,33.33333333,33.33333333,?,?,?,?
contact-lenses,2,2,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,6.10E-05,1.90E-05,0.061,0.019,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,2,3,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,1,2,0,33.33333333,66.66666667,0,0.142857143,0.444444444,0.666666667,120,156.8929081,4.140177658,2148,-2143.859822,1.380059219,716,-714.6199408,-0.748461233,-0.249487078,-54.06271315,NaN,0,0.666666667,2,0.333333333,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.333333333,0,1,0.666666667,NaN,0.333333333,NaN,NaN,0.666666667,0.666666667,NaN,0.333333333,0,0,6.20E-05,8.10E-05,0.062,0.081,1339,3176,1934,33.33333333,33.33333333,?,?,?,?
contact-lenses,2,4,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,6.30E-05,2.00E-05,0.063,0.02,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,2,5,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.30E-05,2.00E-05,0.063,0.02,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,2,6,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.90E-05,2.10E-05,0.069,0.021,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,2,7,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,83.33333333,125,3.058893689,1074,-1070.941106,1.529446845,537,-535.4705532,1,0.5,72.9420888,1,1,1,1,0,0,0,0,0.5,1,0.666666667,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0,0,6.10E-05,1.60E-05,0.061,0.016,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,2,8,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,7.90E-05,1.80E-05,0.079,0.018,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,2,9,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,7.10E-05,1.70E-05,0.071,0.017,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,2,10,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673002535,0,1.673002535,0.836501268,0,0.836501268,1.673002535,0.836501268,117.24236,NaN,0,0,0,1,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,1,1,1,NaN,NaN,1,1,1,0,0,6.20E-05,2.20E-05,0.062,0.022,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,3,1,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,5.90E-05,2.00E-05,0.059,0.02,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,3,2,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,6.00E-05,2.00E-05,0.06,0.02,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,3,3,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,5.80E-05,1.90E-05,0.058,0.019,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,3,4,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0.001,5.50E-05,1.80E-05,0.055,0.018,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,3,5,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,113.6363636,185.3123292,1.673002535,1074,-1072.326997,0.836501268,537,-536.1634987,-0.347923303,-0.173961652,-24.38212037,NaN,0,0.5,1,0.5,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0.5,1,0.5,0.666666667,NaN,NaN,1,0.666666667,0.5,0,0.002,5.40E-05,8.90E-05,0.054,0.089,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,3,6,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.50E-05,2.00E-05,0.065,0.02,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,3,7,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.10E-05,1.50E-05,0.061,0.015,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,3,8,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,83.33333333,125,3.058893689,1074,-1070.941106,1.529446845,537,-535.4705532,1,0.5,72.9420888,1,1,1,1,0,0,0,0,0.5,1,0.666666667,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0,0,5.40E-05,5.30E-05,0.054,0.053,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,3,9,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,7.10E-05,1.80E-05,0.071,0.018,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,3,10,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,83.33333333,125,3.058893689,1074,-1070.941106,1.529446845,537,-535.4705532,1,0.5,72.9420888,1,1,1,1,0,0,0,0,0.5,1,0.666666667,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0,0,6.20E-05,1.50E-05,0.062,0.015,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,4,1,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,1,2,0,33.33333333,66.66666667,0,0.142857143,0.444444444,0.666666667,120,156.8929081,4.140177658,2148,-2143.859822,1.380059219,716,-714.6199408,-0.748461233,-0.249487078,-54.06271315,NaN,0,0.666666667,2,0.333333333,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.333333333,0,1,0.666666667,NaN,0.333333333,NaN,NaN,0.666666667,0.666666667,NaN,0.333333333,0,0,6.10E-05,1.60E-05,0.061,0.016,1339,3176,1934,33.33333333,33.33333333,?,?,?,?
contact-lenses,4,2,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,7.00E-05,1.90E-05,0.07,0.019,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,4,3,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,6.30E-05,1.60E-05,0.063,0.016,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,4,4,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.4,0.222222222,0.471404521,60,110.9400392,4.140177658,1074,-1069.859822,1.380059219,358,-356.6199408,1.292180751,0.430726917,93.33656071,NaN,0,0.333333333,1,0.666666667,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0.666666667,0,1,0.333333333,NaN,0.666666667,NaN,NaN,0.833333333,0.777777778,NaN,0.666666667,0,0,6.30E-05,1.70E-05,0.063,0.017,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,4,5,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673002535,0,1.673002535,0.836501268,0,0.836501268,1.673002535,0.836501268,117.24236,NaN,0,0,0,1,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,1,1,1,NaN,NaN,1,1,1,0,0,6.60E-05,1.50E-05,0.066,0.015,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,4,6,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.80E-05,1.60E-05,0.068,0.016,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,4,7,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,7.40E-05,1.90E-05,0.074,0.019,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,4,8,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,83.33333333,125,3.058893689,1074,-1070.941106,1.529446845,537,-535.4705532,1,0.5,72.9420888,1,1,1,1,0,0,0,0,0.5,1,0.666666667,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0,0,5.90E-05,1.30E-05,0.059,0.013,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,4,9,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,3.058893689,0,3.058893689,1.529446845,0,1.529446845,3.058893689,1.529446845,223.1220951,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,6.00E-05,1.30E-05,0.06,0.013,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,4,10,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,1,1,0,50,50,0,0,0.333333333,0.577350269,83.33333333,125,3.058893689,1074,-1070.941106,1.529446845,537,-535.4705532,1,0.5,72.9420888,1,1,1,1,0,0,0,0,0.5,1,0.666666667,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,0.5,NaN,NaN,0.5,0.5,NaN,0.5,0,0,5.80E-05,1.40E-05,0.058,0.014,1339,3245,1865,50,33.33333333,?,?,?,?
contact-lenses,5,1,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.5,0.222222222,0.471404521,50,91.56571125,5.526068812,1074,-1068.473931,1.842022937,358,-356.1579771,2.678071905,0.892690635,201.9528767,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666666667,0.5,0.75,0.5,0.666666667,0.166666667,0.833333333,0.333333333,NaN,0.666666667,NaN,NaN,0.75,0.611111111,NaN,0.666666667,0,0,6.60E-05,1.60E-05,0.066,0.016,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,5,2,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,1,2,0,33.33333333,66.66666667,0,0,0.444444444,0.666666667,100,129.4934707,5.526068812,2148,-2142.473931,1.842022937,716,-714.1579771,0.584962501,0.1949875,44.11190736,1,1,1,2,0,0,0,0,0.333333333,1,0.5,NaN,0.5,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,NaN,0.333333333,NaN,NaN,0.5,0.333333333,NaN,0.333333333,0,0,6.30E-05,1.60E-05,0.063,0.016,1339,3176,1934,33.33333333,33.33333333,?,?,?,?
contact-lenses,5,3,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.5,0.222222222,0.471404521,50,91.56571125,5.526068812,1074,-1068.473931,1.842022937,358,-356.1579771,2.678071905,0.892690635,201.9528767,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666666667,0.5,0.75,0.5,0.666666667,0.166666667,0.833333333,0.333333333,NaN,0.666666667,NaN,NaN,0.75,0.611111111,NaN,0.666666667,0,0,6.40E-05,1.50E-05,0.064,0.015,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,5,4,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,21,3,2,1,0,66.66666667,33.33333333,0,0.5,0.222222222,0.471404521,50,91.56571125,5.526068812,1074,-1068.473931,1.842022937,358,-356.1579771,2.678071905,0.892690635,201.9528767,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666666667,0.5,0.75,0.5,0.666666667,0.166666667,0.833333333,0.333333333,NaN,0.666666667,NaN,NaN,0.75,0.611111111,NaN,0.666666667,0,0,5.40E-05,2.20E-05,0.054,0.022,1339,3176,1934,66.66666667,33.33333333,?,?,?,?
contact-lenses,5,5,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673002535,0,1.673002535,0.836501268,0,0.836501268,1.673002535,0.836501268,117.24236,NaN,0,0,0,1,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,1,1,1,NaN,NaN,1,1,1,0,0,5.60E-05,1.30E-05,0.056,0.013,1339,3245,1865,100,33.33333333,?,?,?,?
contact-lenses,5,6,weka.classifiers.rules.OneR,'-B 6',-3.45943E+18,2.02E+07,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673002535,0,1.673002535,0.836501268,0,0.836501268,1.673002535,0.836501268,117.24236,NaN,0,0,0,1,2,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0,1,1,1,NaN,NaN,1,1,1,0,0,5.70E-05,1.30E-05,0.057,0.013,1339,3245,1865,100,33.33333333,?,?,?,?
